step,learning_rate,train_loss,val_loss
0,2.5e-06,5.0727699279785154,5.034146785736084
50,0.0001275,4.837081718444824,4.834133625030518
100,0.0002525,4.051216983795166,4.054636430740357
150,0.0003775,3.535919952392578,3.4634432792663574
200,0.0005,3.1823419094085694,3.1396923542022703
250,0.0004982865854130426,3.1378176689147947,3.0791600227355955
300,0.0004931713270951222,3.0443522453308107,2.9807561874389648
350,0.00048472881703107254,2.9424044609069826,2.703163194656372
400,0.0004730821660285043,2.806749439239502,2.717577266693115
450,0.00045840120848500925,2.7250367164611817,2.6337160587310793
500,0.00044090002582020875,2.5814514636993406,2.521738386154175
550,0.0004208338246865869,2.525372838973999,2.4665133476257326
600,0.0003984952154818216,2.4910287380218508,2.3976141452789306
650,0.0003742099454302856,2.4090156078338625,2.3959757804870607
700,0.0003483321484549959,2.4144233226776124,2.3600981712341307
750,0.0003212391811075761,2.3422813415527344,2.274265694618225
800,0.0002933261198600009,2.3408688068389893,2.256355857849121
850,0.000265,2.257920837402344,2.1603214263916017
900,0.0002366738801399991,2.1453691005706785,2.1297527074813845
950,0.00020876081889242398,2.1274087190628053,2.2305002212524414
1000,0.0001816678515450041,2.2175313949584963,2.101877474784851
1050,0.00015579005456971439,2.2074957370758055,2.1473374366760254
1100,0.0001315047845181784,2.195637917518616,2.1714356422424315
1150,0.00010916617531341318,2.1733375549316407,2.109239387512207
1200,8.909997417979122e-05,2.2233098983764648,2.0530009269714355
1250,7.159879151499076e-05,2.168834352493286,2.1414788007736205
1300,5.69178339714957e-05,2.10176682472229,1.9832884311676025
1350,4.527118296892754e-05,2.111835479736328,2.0711142301559446
1400,3.682867290487778e-05,2.0383559465408325,2.0461536407470704
1450,3.171341458695732e-05,2.0923911571502685,2.074103331565857
1499,3.0000686199972035e-05,2.1249538898468017,2.066385579109192
