step,learning_rate,train_loss,val_loss
0,2.5e-06,5.033371315002442,5.025131950378418
50,0.0001275,4.813264513015747,4.810268154144287
100,0.0002525,4.0824459409713745,4.06268196105957
150,0.0003775,3.515719633102417,3.4921033811569213
200,0.0005,3.2416071128845214,3.185419316291809
250,0.0004982865854130426,3.1396048212051393,3.0590555334091185
300,0.0004931713270951222,3.0205008602142334,2.9424584436416628
350,0.00048472881703107254,2.9194770526885985,2.8198681545257567
400,0.0004730821660285043,2.8065964078903196,2.7157860374450684
450,0.00045840120848500925,2.699174847602844,2.5932168340682984
500,0.00044090002582020875,2.607501382827759,2.5024545335769655
550,0.0004208338246865869,2.5243258619308473,2.437900733947754
600,0.0003984952154818216,2.462950701713562,2.3547254991531372
650,0.0003742099454302856,2.3961616945266724,2.3129975414276123
700,0.0003483321484549959,2.3650381803512572,2.2664618611335756
750,0.0003212391811075761,2.3329646682739256,2.2441076397895814
800,0.0002933261198600009,2.292881901264191,2.1719694709777833
850,0.000265,2.237217135429382,2.190181066989899
900,0.0002366738801399991,2.2479294395446776,2.1483376455307006
950,0.00020876081889242398,2.2030373549461366,2.120591309070587
1000,0.0001816678515450041,2.2020413851737977,2.101226480007172
1050,0.00015579005456971439,2.166596417427063,2.121761701107025
1100,0.0001315047845181784,2.202755193710327,2.071463499069214
1150,0.00010916617531341318,2.1440746712684633,2.0524338936805724
1200,8.909997417979122e-05,2.1535471725463866,2.0720963716506957
1250,7.159879151499076e-05,2.17373256444931,2.0737672901153563
1300,5.69178339714957e-05,2.16206992149353,2.0429861617088316
1350,4.527118296892754e-05,2.1515344691276552,2.0191809558868408
1400,3.682867290487778e-05,2.1525070691108703,2.054262638092041
1450,3.171341458695732e-05,2.1307711505889895,2.08268349647522
1499,3.0000686199972035e-05,2.15876175403595,2.029249382019043
