step,learning_rate,train_loss,val_loss
0,2.5e-06,5.051170330047608,5.053453435897827
50,0.0001275,4.486593132019043,4.492000455856323
100,0.0002525,3.8892804861068724,3.8650130605697632
150,0.0003775,3.397661108970642,3.3668545722961425
200,0.0005,3.2259799575805665,3.146809163093567
250,0.0004982865854130426,3.1055794525146485,3.0534229707717895
300,0.0004931713270951222,2.9915086221694946,2.9110770082473754
350,0.00048472881703107254,2.8551672315597534,2.7506837844848633
400,0.0004730821660285043,2.7461751556396483,2.675658006668091
450,0.00045840120848500925,2.6694621801376344,2.5379438686370848
500,0.00044090002582020875,2.628476257324219,2.4953513288497926
550,0.0004208338246865869,2.5471978521347047,2.455313744544983
600,0.0003984952154818216,2.466711525917053,2.361471428871155
650,0.0003742099454302856,2.4636555528640747,2.306445586681366
700,0.0003483321484549959,2.373419413566589,2.2731677961349486
750,0.0003212391811075761,2.3535998821258546,2.2005833077430723
800,0.0002933261198600009,2.2985200452804566,2.2430900382995604
850,0.000265,2.293998136520386,2.210386583805084
900,0.0002366738801399991,2.2483243989944457,2.164585108757019
950,0.00020876081889242398,2.2382875442504884,2.1226965498924257
1000,0.0001816678515450041,2.196686360836029,2.142069334983826
1050,0.00015579005456971439,2.2062637209892273,2.101838767528534
1100,0.0001315047845181784,2.1733106756210328,2.0474344658851624
1150,0.00010916617531341318,2.1445516610145567,2.0677970910072325
1200,8.909997417979122e-05,2.1720498061180114,2.084927570819855
1250,7.159879151499076e-05,2.1707876443862917,2.025561785697937
1300,5.69178339714957e-05,2.1685163497924806,2.0255197310447692
1350,4.527118296892754e-05,2.13744957447052,2.0177042126655578
1400,3.682867290487778e-05,2.1205273413658143,2.057232286930084
1450,3.171341458695732e-05,2.1227878665924074,2.0142482233047487
1499,3.0000686199972035e-05,2.132031648159027,2.032471044063568
