step,learning_rate,train_loss,val_loss
0,2.5e-06,5.042550849914551,5.060250568389892
50,0.0001275,4.8352734565734865,4.832781791687012
100,0.0002525,4.051166534423828,4.073709535598755
150,0.0003775,3.5656793117523193,3.4628709316253663
200,0.0005,3.194489097595215,3.167970085144043
250,0.0004982865854130426,3.1291099071502684,3.06957745552063
300,0.0004931713270951222,3.058226299285889,2.989779567718506
350,0.00048472881703107254,2.9143869400024416,2.689585494995117
400,0.0004730821660285043,2.792770004272461,2.6963465213775635
450,0.00045840120848500925,2.6968392848968508,2.6207659244537354
500,0.00044090002582020875,2.574919843673706,2.5242630004882813
550,0.0004208338246865869,2.5199496746063232,2.4528567790985107
600,0.0003984952154818216,2.4977667808532713,2.3938033103942873
650,0.0003742099454302856,2.4202683925628663,2.40458722114563
700,0.0003483321484549959,2.4116237640380858,2.3633861541748047
750,0.0003212391811075761,2.3602020263671877,2.2750564575195313
800,0.0002933261198600009,2.354623031616211,2.269411087036133
850,0.000265,2.255992364883423,2.1522599935531614
900,0.0002366738801399991,2.1334720611572267,2.117879772186279
950,0.00020876081889242398,2.132003998756409,2.2242969989776613
1000,0.0001816678515450041,2.2069286346435546,2.0919750928878784
1050,0.00015579005456971439,2.1922600746154783,2.135641622543335
1100,0.0001315047845181784,2.170745325088501,2.169440174102783
1150,0.00010916617531341318,2.1767035484313966,2.1120914697647093
1200,8.909997417979122e-05,2.2085400581359864,2.0542516231536867
1250,7.159879151499076e-05,2.171485662460327,2.1343430280685425
1300,5.69178339714957e-05,2.108674669265747,1.9687519311904906
1350,4.527118296892754e-05,2.0902822494506834,2.054039192199707
1400,3.682867290487778e-05,2.038489317893982,2.0460235118865966
1450,3.171341458695732e-05,2.0900717973709106,2.0692686796188355
1499,3.0000686199972035e-05,2.1167284488677978,2.04677791595459
