step,learning_rate,train_loss,val_loss
0,2.5e-06,5.055591201782226,5.05919340133667
50,0.0001275,4.708035888671875,4.696203117370605
100,0.0002525,3.9344960403442384,3.9150581550598145
150,0.0003775,3.384686841964722,3.3399252223968507
200,0.0005,3.2073130989074707,3.1185538148880005
250,0.0004982865854130426,3.0984298753738404,3.043743386268616
300,0.0004931713270951222,2.965782027244568,2.886141800880432
350,0.00048472881703107254,2.8243556022644043,2.7166275787353515
400,0.0004730821660285043,2.6866088056564332,2.6192527627944946
450,0.00045840120848500925,2.5945073127746583,2.4662675857543945
500,0.00044090002582020875,2.536557855606079,2.401096668243408
550,0.0004208338246865869,2.4431611919403076,2.3509700441360475
600,0.0003984952154818216,2.365000619888306,2.259142417907715
650,0.0003742099454302856,2.346231708526611,2.204252619743347
700,0.0003483321484549959,2.2610762476921082,2.171585054397583
750,0.0003212391811075761,2.245855097770691,2.089543082714081
800,0.0002933261198600009,2.1837659740447997,2.143997898101807
850,0.000265,2.1789977669715883,2.1015875053405764
900,0.0002366738801399991,2.1404909896850586,2.0605573296546935
950,0.00020876081889242398,2.123286154270172,2.0207939529418946
1000,0.0001816678515450041,2.092490794658661,2.040783636569977
1050,0.00015579005456971439,2.09778703212738,2.001325294971466
1100,0.0001315047845181784,2.0772122287750245,1.9476199769973754
1150,0.00010916617531341318,2.0437848210334777,1.964713704586029
1200,8.909997417979122e-05,2.0640469789505005,1.9799172115325927
1250,7.159879151499076e-05,2.064487941265106,1.925612621307373
1300,5.69178339714957e-05,2.061740937232971,1.9305989813804627
1350,4.527118296892754e-05,2.027328245639801,1.9060097408294678
1400,3.682867290487778e-05,2.009425873756409,1.9470274329185486
1450,3.171341458695732e-05,2.009538290500641,1.9134612417221069
1499,3.0000686199972035e-05,2.0294422149658202,1.9308424425125121
