step,learning_rate,train_loss,val_loss
0,2.5e-06,5.023340845108033,5.0117714214324955
50,0.0001275,4.674196853637695,4.661461896896363
100,0.0002525,4.033393354415893,4.004759650230408
150,0.0003775,3.5677787351608274,3.5314655399322508
200,0.0005,3.270526604652405,3.215386152267456
250,0.0004982865854130426,3.1360194492340088,3.069379687309265
300,0.0004931713270951222,3.064844207763672,2.976933183670044
350,0.00048472881703107254,2.910752396583557,2.8444016790390014
400,0.0004730821660285043,2.8283053922653196,2.7319395923614502
450,0.00045840120848500925,2.7129839086532592,2.613646402359009
500,0.00044090002582020875,2.6345027780532835,2.519133563041687
550,0.0004208338246865869,2.547342448234558,2.4803197383880615
600,0.0003984952154818216,2.552485952377319,2.3885450077056887
650,0.0003742099454302856,2.4646254539489747,2.316782865524292
700,0.0003483321484549959,2.4291725254058836,2.315521080493927
750,0.0003212391811075761,2.4251008796691895,2.2875964546203615
800,0.0002933261198600009,2.3518682289123536,2.2678680419921875
850,0.000265,2.3179526424407957,2.233111388683319
900,0.0002366738801399991,2.3200538635253904,2.190978293418884
950,0.00020876081889242398,2.2761945223808286,2.1635355615615843
1000,0.0001816678515450041,2.2785987043380738,2.1603233075141905
1050,0.00015579005456971439,2.27323527097702,2.1671621203422546
1100,0.0001315047845181784,2.2508641839027406,2.151885552406311
1150,0.00010916617531341318,2.202233626842499,2.1126089096069336
1200,8.909997417979122e-05,2.2202200269699097,2.117864954471588
1250,7.159879151499076e-05,2.224219250679016,2.1644917345046997
1300,5.69178339714957e-05,2.238578968048096,2.1155281352996824
1350,4.527118296892754e-05,2.216841118335724,2.0976713609695437
1400,3.682867290487778e-05,2.2193246269226075,2.0917767000198366
1450,3.171341458695732e-05,2.1987031650543214,2.1139845991134645
1499,3.0000686199972035e-05,2.2085159540176393,2.117010622024536
